燃情克利夫兰第四季 	全剧完结 	喜剧 	['2020-1-28']
医院革命第二季 	第11集 	医务,剧情 	['2020-1-28']
在迪士尼的一天第一季 	第5集 	剧情 	['2020-1-28']
星球大战：抵抗组织第二季 	第18集 	科幻,动画,动作,冒险 	[]
克莉丝汀·基勒的审判第一季 	本季终 	剧情 	[]
女大当自强第二季 	第3集 	喜剧 	[]
拉字至上：Q世代 	本季终 	爱情,同性,剧情 	[]
海军罪案调查处第十七季 	第13集 	罪案,剧情 	[]
敢不敢挑战我第一季 	第5集 	惊悚 	[]
权欲第六季 	第14集 	罪案,剧情 	[]
第5大道第一季 	第2集 	科幻,喜剧 	[]
蝙蝠女侠第一季 	第11集 	科幻,动作,冒险 	[]
神秘博士第十二季 	第5集 	科幻,剧情 	[]
迈罗.墨菲定律第一季 	第19集 	动画 	[]
天堂岛疑云第九季 	第2集 	罪案,悬疑 	[]
黑死病第二季 	第2集 	惊悚,悬疑,历史,剧情 	[]
局外人第一季 	第4集 	惊悚,悬疑 	[]
女超人第五季 	第11集 	科幻,动作,冒险 	[]
拦截者第一季 	全剧完结 	剧情 	[]
牧场趣事第三季 	全剧完结 	喜剧 	[]
正在进行第一季 	本季终 	爱情,喜剧 	[]
无耻之徒第十季 	第12集 	家庭,喜剧,剧情 	[]
黑白恋曲第一季 	第20集 	爱情,暴力 	[]
布朗神父第八季 	第3集 	罪案,悬疑 	[]
实习医生格蕾第十六季 	第10集 	爱情,医务,剧情 	[]
灵能校探第一季 	本季终 	奇幻 	[]
腌黄瓜先生第三季 	第8集 	喜剧,动画 	[]
庭审专家第四季 	第12集 	律政,剧情 	[]
魔法师第五季 	第2集 	悬疑,奇幻,剧情 	[]
奥斯曼帝国的崛起第一季 	本季终 	记录 	[]
哈莉·奎茵第一季 	第9集 	罪案,动画,冒险 	[]
小镇疑案第一季 	第3集 	罪案,剧情 	[]
美式主妇第四季 	第12集 	喜剧 	[]
联邦调查局第二季 	第13集 	罪案,剧情 	[]
验尸官第二季 	第3集 	剧情 	[]
海军罪案调查处：洛杉矶第十一季 	第13集 	罪案,悬疑,剧情 	[]
牧场趣事第四季 	全剧完结 	喜剧 	[]
无声的证言第九季 	第4集 	罪案,剧情 	[]
新圣女魔咒第二季 	第10集 	奇幻,剧情 	[]
牧师神探第五季 	第3集 	罪案,悬疑,剧情 	[]
豪门恩怨第三季 	第10集 	罪案,剧情 	[]
初来乍到第六季 	第12集 	喜剧 	[]
猫头鹰魔法社第一季 	第3集 	暂无 	[]
智商跟不上第一季 	第1集 	暂无 	[]
萨布丽娜的惊心冒险第三季 	本季终 	惊悚,奇幻,喜剧 	[]
吸血鬼后裔第二季 	第10集 	魔幻,悬疑,奇幻 	[]
完美之声第一季 	本季终 	喜剧 	[]
黑色童话第二季 	第8集 	惊悚,悬疑,奇幻 	[]
善地第四季 	第12集 	奇幻,喜剧 	[]
副警长第一季 	第4集 	剧情 	[]
